"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"130","ccChina","ccChina","group",30,"binomial","BGC","auc",TRUE,0.796796796796797
"131","ccChina","ccChina","group",31,"binomial","BGC","auc",TRUE,0.818568568568569
"132","ccChina","ccChina","group",32,"binomial","BGC","auc",TRUE,0.79029029029029
"133","ccChina","ccChina","group",33,"binomial","BGC","auc",TRUE,0.81006006006006
"134","ccChina","ccChina","group",34,"binomial","BGC","auc",TRUE,0.774399399399399
"135","ccChina","ccChina","group",35,"binomial","BGC","auc",TRUE,0.78978978978979
"136","ccChina","ccChina","group",36,"binomial","BGC","auc",TRUE,0.814564564564565
"137","ccChina","ccChina","group",37,"binomial","BGC","auc",TRUE,0.814314314314314
"138","ccChina","ccChina","group",38,"binomial","BGC","auc",TRUE,0.781531531531532
"139","ccChina","ccChina","group",39,"binomial","BGC","auc",TRUE,0.779279279279279
"140","ccChina","ccChina","group",40,"binomial","BGC","auc",TRUE,0.792542542542543
"141","ccChina","ccChina","group",41,"binomial","BGC","auc",TRUE,0.821071071071071
"142","ccChina","ccChina","group",42,"binomial","BGC","auc",TRUE,0.8003003003003
"143","ccChina","ccChina","group",43,"binomial","BGC","auc",TRUE,0.788288288288288
"144","ccChina","ccChina","group",44,"binomial","BGC","auc",TRUE,0.820570570570571
"145","ccChina","ccChina","group",45,"binomial","BGC","auc",TRUE,0.805555555555556
"146","ccChina","ccChina","group",46,"binomial","BGC","auc",TRUE,0.773773773773774
"147","ccChina","ccChina","group",47,"binomial","BGC","auc",TRUE,0.797797797797798
"148","ccChina","ccChina","group",48,"binomial","BGC","auc",TRUE,0.781281281281281
"149","ccChina","ccChina","group",49,"binomial","BGC","auc",TRUE,0.791916916916917
"150","ccChina","ccChina","group",50,"binomial","BGC","auc",TRUE,0.816816816816817
"151","ccChina","ccChina","group",51,"binomial","BGC","auc",TRUE,0.793043043043043
"152","ccChina","ccChina","group",52,"binomial","BGC","auc",TRUE,0.76026026026026
